seed=0, UAV=1, MCV=3, Best objective (cost, TW violation): [40616.96550641453, 112.61574828263993]
seed=0, UAV=1, MCV=4, Best objective (cost, TW violation): [46623.02087311009, 91.33908290479278]
seed=0, UAV=1, MCV=3, Best objective (cost, TW violation): [40616.96550641453, 112.61574828263993]
seed=0, UAV=1, MCV=4, Best objective (cost, TW violation): [46623.02087311009, 91.33908290479278]
seed=0, UAV=1, MCV=5, Best objective (cost, TW violation): [52281.96314441512, 69.8749896629972]
seed=0, UAV=1, MCV=6, Best objective (cost, TW violation): [53169.05484594383, 64.49088621664662]
seed=0, UAV=1, MCV=7, Best objective (cost, TW violation): [52110.18685742206, 86.36546076749481]
seed=0, UAV=2, MCV=3, Best objective (cost, TW violation): [40616.96550641453, 112.61574828263993]
seed=0, UAV=2, MCV=4, Best objective (cost, TW violation): [46623.02087311009, 91.33908290479278]
seed=0, UAV=2, MCV=5, Best objective (cost, TW violation): [52281.96314441512, 69.8749896629972]
seed=0, UAV=2, MCV=6, Best objective (cost, TW violation): [53169.05484594383, 64.49088621664662]
seed=0, UAV=2, MCV=7, Best objective (cost, TW violation): [52110.18685742206, 86.36546076749481]
seed=0, UAV=3, MCV=3, Best objective (cost, TW violation): [40616.96550641453, 112.61574828263993]
seed=0, UAV=3, MCV=4, Best objective (cost, TW violation): [46623.02087311009, 91.33908290479278]
seed=0, UAV=3, MCV=5, Best objective (cost, TW violation): [52281.96314441512, 69.8749896629972]
seed=0, UAV=3, MCV=6, Best objective (cost, TW violation): [53169.05484594383, 64.49088621664662]
seed=0, UAV=3, MCV=7, Best objective (cost, TW violation): [52110.18685742206, 86.36546076749481]
seed=1, UAV=1, MCV=3, Best objective (cost, TW violation): [42568.91895932134, 89.90266550402897]
seed=1, UAV=1, MCV=4, Best objective (cost, TW violation): [46275.55293207079, 79.56485627926521]
seed=1, UAV=1, MCV=5, Best objective (cost, TW violation): [46675.802914707, 64.34432139079867]
seed=1, UAV=1, MCV=6, Best objective (cost, TW violation): [52655.26076235333, 78.07898634875178]
seed=1, UAV=1, MCV=7, Best objective (cost, TW violation): [58367.83729279637, 78.3078664581553]
seed=1, UAV=2, MCV=3, Best objective (cost, TW violation): [42568.91895932134, 89.90266550402897]
seed=1, UAV=2, MCV=4, Best objective (cost, TW violation): [46275.55293207079, 79.56485627926521]
seed=1, UAV=2, MCV=5, Best objective (cost, TW violation): [46675.802914707, 64.34432139079867]
seed=1, UAV=2, MCV=6, Best objective (cost, TW violation): [52655.26076235333, 78.07898634875178]
seed=1, UAV=2, MCV=7, Best objective (cost, TW violation): [58367.83729279637, 78.3078664581553]
seed=1, UAV=3, MCV=3, Best objective (cost, TW violation): [42568.91895932134, 89.90266550402897]
seed=1, UAV=3, MCV=4, Best objective (cost, TW violation): [46275.55293207079, 79.56485627926521]
seed=1, UAV=3, MCV=5, Best objective (cost, TW violation): [46675.802914707, 64.34432139079867]
seed=1, UAV=3, MCV=6, Best objective (cost, TW violation): [52655.26076235333, 78.07898634875178]
seed=1, UAV=3, MCV=7, Best objective (cost, TW violation): [58367.83729279637, 78.3078664581553]
seed=2, UAV=1, MCV=3, Best objective (cost, TW violation): [40494.66621638317, 103.89474873495737]
seed=2, UAV=1, MCV=4, Best objective (cost, TW violation): [46845.109204629276, 90.82518006370773]
seed=2, UAV=1, MCV=5, Best objective (cost, TW violation): [47125.55361888797, 82.32536763187983]
seed=2, UAV=1, MCV=6, Best objective (cost, TW violation): [59087.79684453822, 78.72680288039697]
seed=2, UAV=1, MCV=7, Best objective (cost, TW violation): [54686.97373416042, 67.16722101528855]
seed=2, UAV=2, MCV=3, Best objective (cost, TW violation): [40494.66621638317, 103.89474873495737]
seed=2, UAV=2, MCV=4, Best objective (cost, TW violation): [46845.109204629276, 90.82518006370773]
seed=2, UAV=2, MCV=5, Best objective (cost, TW violation): [47125.55361888797, 82.32536763187983]
seed=2, UAV=2, MCV=6, Best objective (cost, TW violation): [59087.79684453822, 78.72680288039697]
seed=2, UAV=2, MCV=7, Best objective (cost, TW violation): [54686.97373416042, 67.16722101528855]
seed=2, UAV=3, MCV=3, Best objective (cost, TW violation): [40494.66621638317, 103.89474873495737]
seed=2, UAV=3, MCV=4, Best objective (cost, TW violation): [46845.109204629276, 90.82518006370773]
seed=2, UAV=3, MCV=5, Best objective (cost, TW violation): [47125.55361888797, 82.32536763187983]
seed=2, UAV=3, MCV=6, Best objective (cost, TW violation): [59087.79684453822, 78.72680288039697]
seed=2, UAV=3, MCV=7, Best objective (cost, TW violation): [54686.97373416042, 67.16722101528855]
seed=3, UAV=1, MCV=3, Best objective (cost, TW violation): [40700.353966989336, 77.89122496424883]
seed=3, UAV=1, MCV=4, Best objective (cost, TW violation): [47132.70397792446, 98.2159454679883]
seed=3, UAV=1, MCV=5, Best objective (cost, TW violation): [40748.7106423396, 65.35529799833952]
seed=3, UAV=1, MCV=6, Best objective (cost, TW violation): [53706.65654608664, 105.10833263513214]
